work_quality,team_work,problem_solving,adaptablity,communication_skills,tech_talks,reusable_libraries,rating
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,2,3,4,5,1,2,2.57
2,3,4,5,1,2,3,2.86
3,4,5,1,2,3,4,3.14
4,5,1,2,3,4,5,3.43
5,1,2,3,4,5,1,3
1,1,2,3,4,5,1,2.43
1,2,3,4,5,1,2,2.57
1,3,4,5,1,2,3,2.71
1,4,5,1,2,3,4,2.86
1,5,4,3,2,1,5,3
2,1,2,3,4,5,1,2.57
2,2,3,4,5,1,2,2.71
2,3,4,5,1,2,3,2.86
2,4,5,1,2,3,4,3
2,5,1,2,3,4,5,3.14
3,1,2,3,4,5,1,2.71
3,2,3,4,5,1,2,2.86
3,3,4,5,1,2,3,3
3,4,5,1,2,3,4,3.14
3,5,1,2,3,4,5,3.29
4,1,2,3,4,5,1,2.86
4,2,3,4,5,1,2,3
4,3,4,5,1,2,3,3.14
4,4,5,1,2,3,4,3.29
4,5,1,2,3,4,5,3.43
5,1,2,3,4,5,1,3
5,2,3,4,5,1,2,3.14
5,3,4,5,1,2,3,3.29
5,4,5,1,2,3,4,3.43
5,5,1,2,3,4,5,3.57
1,1,1,1,1,5,1,1.57
1,1,1,1,1,4,2,1.57
1,1,1,1,1,3,3,1.57
1,1,1,1,1,2,4,1.57
1,1,1,1,1,1,5,1.57
1,1,1,1,2,1,1,1.14
1,1,1,1,2,2,2,1.43
1,1,1,1,2,3,3,1.71
1,1,1,1,2,4,4,2
1,1,1,1,2,5,5,2.29
1,1,1,1,3,1,1,1.29
1,1,1,1,3,2,2,1.57
1,1,1,1,3,3,3,1.86
1,1,1,1,3,4,4,2.14
1,1,1,1,3,5,5,2.43
1,1,1,1,4,1,1,1.43
1,1,1,1,4,2,2,1.71
1,1,1,1,4,3,3,2
1,1,1,1,4,4,4,2.29
1,1,1,1,4,5,5,2.57
1,1,1,1,5,1,1,1.57
1,1,1,1,5,2,2,1.86
1,1,1,1,5,3,3,2.14
1,1,1,1,5,4,4,2.43
1,1,1,1,5,5,5,2.71
1,1,1,2,1,1,1,1.14
1,1,1,2,1,2,2,1.43
1,1,1,2,1,3,3,1.71
1,1,1,2,1,4,4,2
1,1,1,2,1,5,5,2.29
1,1,1,2,2,1,1,1.29
1,1,1,2,2,2,2,1.57
1,1,1,2,2,3,3,1.86
1,1,1,2,2,4,4,2.14
1,1,1,2,2,5,5,2.43
1,1,1,2,3,1,1,1.43
1,1,1,2,3,2,2,1.71
1,1,1,2,3,3,3,2
1,1,1,2,3,4,4,2.29
1,1,1,2,3,5,5,2.57
1,1,1,2,4,1,1,1.57
1,1,1,2,4,2,2,1.86
1,1,1,2,4,3,3,2.14
1,1,1,2,4,4,4,2.43
1,1,1,2,4,5,5,2.71
1,1,1,2,5,1,1,1.71
1,1,1,2,5,2,2,2
1,1,1,2,5,3,3,2.29
1,1,1,2,5,4,4,2.57
1,1,1,2,5,5,5,2.86
1,1,1,3,1,1,1,1.29
1,1,1,3,1,2,2,1.57
1,1,1,3,1,3,3,1.86
1,1,1,3,1,4,4,2.14
1,1,1,3,1,5,5,2.43
1,1,1,3,2,1,1,1.43
1,1,1,3,2,2,2,1.71
1,1,1,3,2,3,3,2
1,1,1,3,2,4,4,2.29
1,1,1,3,2,5,5,2.57
1,1,1,3,3,1,1,1.57
1,1,1,3,3,2,2,1.86
1,1,1,3,3,3,3,2.14
1,1,1,3,3,4,4,2.43
1,1,1,3,3,5,5,2.71
1,1,1,3,4,1,1,1.71
1,1,1,3,4,2,2,2
1,1,1,3,4,3,3,2.29
1,1,1,3,4,4,4,2.57
1,1,1,3,4,5,5,2.86
1,1,1,3,5,1,1,1.86
1,1,1,3,5,2,2,2.14
1,1,1,3,5,3,3,2.43
1,1,1,3,5,4,4,2.71
1,1,1,3,5,5,5,3
1,1,1,4,1,1,1,1.43
1,1,1,4,1,2,2,1.71
1,1,1,4,1,3,3,2
1,1,1,4,1,4,4,2.29
1,1,1,4,1,5,5,2.57
1,1,1,4,2,1,1,1.57
1,1,1,4,2,2,2,1.86
1,1,1,4,2,3,3,2.14
1,1,1,4,2,4,4,2.43
1,1,1,4,2,5,5,2.71
1,1,1,4,3,1,1,1.71
1,1,1,4,3,2,2,2
1,1,1,4,3,3,3,2.29
1,1,1,4,3,4,4,2.57
1,1,1,4,3,5,5,2.86
1,1,1,4,4,1,1,1.86
1,1,1,4,4,2,2,2.14
1,1,1,4,4,3,3,2.43
1,1,1,4,4,4,4,2.71
1,1,1,4,4,5,5,3
1,1,1,4,5,1,1,2
1,1,1,4,5,2,2,2.29
1,1,1,4,5,3,3,2.57
1,1,1,4,5,4,4,2.86
1,1,1,4,5,5,5,3.14
1,1,1,5,1,1,1,1.57
1,1,1,5,1,2,2,1.86
1,1,1,5,1,3,3,2.14
1,1,1,5,1,4,4,2.43
1,1,1,5,1,5,5,2.71
1,1,1,5,2,1,1,1.71
1,1,1,5,2,2,2,2
1,1,1,5,2,3,3,2.29
1,1,1,5,2,4,4,2.57
1,1,1,5,2,5,5,2.86
1,1,1,5,3,1,1,1.86
1,1,1,5,3,2,2,2.14
1,1,1,5,3,3,3,2.43
1,1,1,5,3,4,4,2.71
1,1,1,5,3,5,5,3
1,1,1,5,4,1,1,2
1,1,1,5,4,2,2,2.29
1,1,1,5,4,3,3,2.57
1,1,1,5,4,4,4,2.86
1,1,1,5,4,5,5,3.14
1,1,1,5,5,1,1,2.14
1,1,1,5,5,2,2,2.43
1,1,1,5,5,3,3,2.71
1,1,1,5,5,4,4,3
1,1,1,5,5,5,5,3.29
1,1,2,1,1,1,1,1.14
1,1,2,1,1,2,2,1.43
1,1,2,1,1,3,3,1.71
1,1,2,1,1,4,4,2
1,1,2,1,1,5,5,2.29
1,1,2,1,2,1,1,1.29
1,1,2,1,2,2,2,1.57
1,1,2,1,2,3,3,1.86
1,1,2,1,2,4,4,2.14
1,1,2,1,2,5,5,2.43
1,1,2,1,3,1,1,1.43
1,1,2,1,3,2,2,1.71
1,1,2,1,3,3,3,2
1,1,2,1,3,4,4,2.29
1,1,2,1,3,5,5,2.57
1,1,2,1,4,1,1,1.57
1,1,2,1,4,2,2,1.86
1,1,2,1,4,3,3,2.14
1,1,2,1,4,4,4,2.43
1,1,2,1,4,5,5,2.71
1,1,2,1,5,1,1,1.71
1,1,2,1,5,2,2,2
1,1,2,1,5,3,3,2.29
1,1,2,1,5,4,4,2.57
1,1,2,1,5,5,5,2.86
1,1,2,2,1,1,1,1.29
1,1,2,2,1,2,2,1.57
1,1,2,2,1,3,3,1.86
1,1,2,2,1,4,4,2.14
1,1,2,2,1,5,5,2.43
1,1,2,2,2,1,1,1.43
1,1,2,2,2,2,2,1.71
1,1,2,2,2,3,3,2
1,1,2,2,2,4,4,2.29
1,1,2,2,2,5,5,2.57
1,1,2,2,3,1,1,1.57
1,1,2,2,3,2,2,1.86
1,1,2,2,3,3,3,2.14
1,1,2,2,3,4,4,2.43
1,1,2,2,3,5,5,2.71
1,1,2,2,4,1,1,1.71
1,1,2,2,4,2,2,2
1,1,2,2,4,3,3,2.29
1,1,2,2,4,4,4,2.57
1,1,2,2,4,5,5,2.86
1,1,2,2,5,1,1,1.86
1,1,2,2,5,2,2,2.14
1,1,2,2,5,3,3,2.43
1,1,2,2,5,4,4,2.71
1,1,2,2,5,5,5,3
1,1,2,3,1,1,1,1.43
1,1,2,3,1,2,2,1.71
1,1,2,3,1,3,3,2
1,1,2,3,1,4,4,2.29
1,1,2,3,1,5,5,2.57
1,1,2,3,2,1,1,1.57
1,1,2,3,2,2,2,1.86
1,1,2,3,2,3,3,2.14
1,1,2,3,2,4,4,2.43
1,1,2,3,2,5,5,2.71
1,1,2,3,3,1,1,1.71
1,1,2,3,3,2,2,2
1,1,2,3,3,3,3,2.29
1,1,2,3,3,4,4,2.57
1,1,2,3,3,5,5,2.86
1,1,2,3,4,1,1,1.86
1,1,2,3,4,2,2,2.14
1,1,2,3,4,3,3,2.43
1,1,2,3,4,4,4,2.71
1,1,2,3,4,5,5,3
1,1,2,3,5,1,1,2
1,1,2,3,5,2,2,2.29
1,1,2,3,5,3,3,2.57
1,1,2,3,5,4,4,2.86
1,1,2,3,5,5,5,3.14
1,1,2,4,1,1,1,1.57
1,1,2,4,1,2,2,1.86
1,1,2,4,1,3,3,2.14
1,1,2,4,1,4,4,2.43
1,1,2,4,1,5,5,2.71
1,1,2,4,2,1,1,1.71
1,1,2,4,2,2,2,2
1,1,2,4,2,3,3,2.29
1,1,2,4,2,4,4,2.57
1,1,2,4,2,5,5,2.86
1,1,2,4,3,1,1,1.86
1,1,2,4,3,2,2,2.14
1,1,2,4,3,3,3,2.43
1,1,2,4,3,4,4,2.71
1,1,2,4,3,5,5,3
1,1,2,4,4,1,1,2
1,1,2,4,4,2,2,2.29
1,1,2,4,4,3,3,2.57
1,1,2,4,4,4,4,2.86
1,1,2,4,4,5,5,3.14
1,1,2,4,5,1,1,2.14
1,1,2,4,5,2,2,2.43
1,1,2,4,5,3,3,2.71
1,1,2,4,5,4,4,3
1,1,2,4,5,5,5,3.29
1,1,2,5,1,1,1,1.71
1,1,2,5,1,2,2,2
1,1,2,5,1,3,3,2.29
1,1,2,5,1,4,4,2.57
1,1,2,5,1,5,5,2.86
1,1,2,5,2,1,1,1.86
1,1,2,5,2,2,2,2.14
1,1,2,5,2,3,3,2.43
1,1,2,5,2,4,4,2.71
1,1,2,5,2,5,5,3
1,1,2,5,3,1,1,2
1,1,2,5,3,2,2,2.29
1,1,2,5,3,3,3,2.57
1,1,2,5,3,4,4,2.86
1,1,2,5,3,5,5,3.14
1,1,2,5,4,1,1,2.14
1,1,2,5,4,2,2,2.43
1,1,2,5,4,3,3,2.71
1,1,2,5,4,4,4,3
1,1,2,5,4,5,5,3.29
1,1,2,5,5,1,1,2.29
1,1,2,5,5,2,2,2.57
1,1,2,5,5,3,3,2.86
1,1,2,5,5,4,4,3.14
1,1,2,5,5,5,5,3.43
1,1,3,1,1,1,1,1.29
1,1,3,1,1,2,2,1.57
1,1,3,1,1,3,3,1.86
1,1,3,1,1,4,4,2.14
1,1,3,1,1,5,5,2.43
1,1,3,1,2,1,1,1.43
1,1,3,1,2,2,2,1.71
1,1,3,1,2,3,3,2
1,1,3,1,2,4,4,2.29
1,1,3,1,2,5,5,2.57
1,1,3,1,3,1,1,1.57
1,1,3,1,3,2,2,1.86
1,1,3,1,3,3,3,2.14
1,1,3,1,3,4,4,2.43
1,1,3,1,3,5,5,2.71
1,1,3,1,4,1,1,1.71
1,1,3,1,4,2,2,2
1,1,3,1,4,3,3,2.29
1,1,3,1,4,4,4,2.57
1,1,3,1,4,5,5,2.86
1,1,3,1,5,1,1,1.86
1,1,3,1,5,2,2,2.14
1,1,3,1,5,3,3,2.43
1,1,3,1,5,4,4,2.71
1,1,3,1,5,5,5,3
